PURPOSE,DOMAIN_CATEGORY,DOMAIN_NAME,DATA_PROGRAM,DATA_METHOD,DATA_TYPE,UNITS,REPORT_YEAR,DATE,REEFPAGE_CATEGORY,REEF_ZONE,DEPTH,SHELF,VARIABLE,mean,median,lower,upper
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2013,2013-01-01,NA, , , ,Damselfishes,62.145185836387576,61.87111646282436,50.17057163379624,74.20060101283467
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2012,2012-01-01,NA, , , ,Damselfishes,54.98385400994544,54.69272906419565,44.45944399991801,65.75790508711134
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2011,2011-01-01,NA, , , ,Damselfishes,79.00720627960047,78.65629373260442,64.22717981757225,94.47434746806859
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2010,2010-01-01,NA, , , ,Damselfishes,77.13425961488343,76.83623412268486,62.2705824060757,92.03208068418316
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2009,2009-01-01,NA, , , ,Damselfishes,79.37534225110251,79.12667375784415,64.63163747644815,95.01785958844624
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2008,2008-01-01,NA, , , ,Damselfishes,73.72104219477947,73.46358706550083,60.09615602034831,88.18083211100345
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2007,2007-01-01,NA, , , ,Damselfishes,86.52856340902969,86.2155093756302,69.44783038953466,102.39342987091685
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2006,2006-01-01,NA, , , ,Damselfishes,85.76487196556289,85.49980986675354,69.5244598343273,102.01347832993706
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2005,2005-01-01,NA, , , ,Damselfishes,109.41732112920867,108.96505526353576,87.17804035679993,129.4579336051362
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2004,2004-01-01,NA, , , ,Damselfishes,76.31803257294453,76.01454327094639,61.9627185905349,91.03366117292443
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2003,2003-01-01,NA, , , ,Damselfishes,91.09128606235095,90.91877533428418,73.98958633447617,109.16740230497504
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2002,2002-01-01,NA, , , ,Damselfishes,82.80846124275672,82.65802301340685,67.0000925967315,98.81308996269598
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2001,2001-01-01,NA, , , ,Damselfishes,70.38477043186066,70.11057356226749,56.990361263482086,84.52487209869881
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2000,2000-01-01,NA, , , ,Damselfishes,67.59221825698475,67.4093635484757,54.236038195918326,80.40879581612145
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1999,1999-01-01,NA, , , ,Damselfishes,101.57193771694234,101.24223761783138,81.79967759513332,120.63432393892849
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1998,1998-01-01,NA, , , ,Damselfishes,88.88956640233793,88.51181194612451,72.31026340800253,106.15009858537104
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1997,1997-01-01,NA, , , ,Damselfishes,101.90573439853705,101.55629580146442,83.21919467401997,122.40317352952918
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1996,1996-01-01,NA, , , ,Damselfishes,147.28614880711825,146.89329416595638,118.6466353951815,174.6500829049166
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1995,1995-01-01,NA, , , ,Damselfishes,104.28591491913205,103.8067960841019,84.80273896416787,124.45402331627717
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2024,2024-01-01,NA, , , ,Damselfishes,183.96507953392293,183.34274169719396,149.80119741956756,219.61966022607075
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2023,2023-01-01,NA, , , ,Damselfishes,154.316788166644,153.84769991172965,125.22633279633749,184.6409985870848
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2022,2022-01-01,NA, , , ,Damselfishes,113.70558405001952,113.24639827342754,93.15819656760486,136.384281163892
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2021,2021-01-01,NA, , , ,Damselfishes,81.12167243232469,80.66641701785753,65.53765334885942,96.82297294757028
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2020,2020-01-01,NA, , , ,Damselfishes,103.04560537863549,102.71116939341272,84.88035464358256,124.1840404307859
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2019,2019-01-01,NA, , , ,Damselfishes,86.89475253150457,86.54335690024146,69.88292356945269,103.56466167325654
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2018,2018-01-01,NA, , , ,Damselfishes,116.17215371610841,115.87951223200035,94.67764882745244,139.16729839130903
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2017,2017-01-01,NA, , , ,Damselfishes,136.3378135509751,135.87169782224228,110.8082424440438,162.46753044662688
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2016,2016-01-01,NA, , , ,Damselfishes,151.7514769996787,151.07054698058954,123.93625403727918,182.00172258938136
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2015,2015-01-01,NA, , , ,Damselfishes,83.36668511764972,83.00287130034971,67.10147177583664,99.37503451507187
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2014,2014-01-01,NA, , , ,Damselfishes,87.47578759974895,87.12901668476944,70.29798975048055,104.34629697142704
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2013,2013-01-01,NA, , , ,Damselfishes,62.145185836387576,61.87111646282436,50.17057163379624,74.20060101283467
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2012,2012-01-01,NA, , , ,Damselfishes,54.98385400994544,54.69272906419565,44.45944399991801,65.75790508711134
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2011,2011-01-01,NA, , , ,Damselfishes,79.00720627960047,78.65629373260442,64.22717981757225,94.47434746806859
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2010,2010-01-01,NA, , , ,Damselfishes,77.13425961488343,76.83623412268486,62.2705824060757,92.03208068418316
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2009,2009-01-01,NA, , , ,Damselfishes,79.37534225110251,79.12667375784415,64.63163747644815,95.01785958844624
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2008,2008-01-01,NA, , , ,Damselfishes,73.72104219477947,73.46358706550083,60.09615602034831,88.18083211100345
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2007,2007-01-01,NA, , , ,Damselfishes,86.52856340902969,86.2155093756302,69.44783038953466,102.39342987091685
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2006,2006-01-01,NA, , , ,Damselfishes,85.76487196556289,85.49980986675354,69.5244598343273,102.01347832993706
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2005,2005-01-01,NA, , , ,Damselfishes,109.41732112920867,108.96505526353576,87.17804035679993,129.4579336051362
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2004,2004-01-01,NA, , , ,Damselfishes,76.31803257294453,76.01454327094639,61.9627185905349,91.03366117292443
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2003,2003-01-01,NA, , , ,Damselfishes,91.09128606235095,90.91877533428418,73.98958633447617,109.16740230497504
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2002,2002-01-01,NA, , , ,Damselfishes,82.80846124275672,82.65802301340685,67.0000925967315,98.81308996269598
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2001,2001-01-01,NA, , , ,Damselfishes,70.38477043186066,70.11057356226749,56.990361263482086,84.52487209869881
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2000,2000-01-01,NA, , , ,Damselfishes,67.59221825698475,67.4093635484757,54.236038195918326,80.40879581612145
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1999,1999-01-01,NA, , , ,Damselfishes,101.57193771694234,101.24223761783138,81.79967759513332,120.63432393892849
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1998,1998-01-01,NA, , , ,Damselfishes,88.88956640233793,88.51181194612451,72.31026340800253,106.15009858537104
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1997,1997-01-01,NA, , , ,Damselfishes,101.90573439853705,101.55629580146442,83.21919467401997,122.40317352952918
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1996,1996-01-01,NA, , , ,Damselfishes,147.28614880711825,146.89329416595638,118.6466353951815,174.6500829049166
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1995,1995-01-01,NA, , , ,Damselfishes,104.28591491913205,103.8067960841019,84.80273896416787,124.45402331627717
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2024,2024-01-01,NA, , , ,Damselfishes,183.96507953392293,183.34274169719396,149.80119741956756,219.61966022607075
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2023,2023-01-01,NA, , , ,Damselfishes,154.316788166644,153.84769991172965,125.22633279633749,184.6409985870848
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2022,2022-01-01,NA, , , ,Damselfishes,113.70558405001952,113.24639827342754,93.15819656760486,136.384281163892
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2021,2021-01-01,NA, , , ,Damselfishes,81.12167243232469,80.66641701785753,65.53765334885942,96.82297294757028
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2020,2020-01-01,NA, , , ,Damselfishes,103.04560537863549,102.71116939341272,84.88035464358256,124.1840404307859
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2019,2019-01-01,NA, , , ,Damselfishes,86.89475253150457,86.54335690024146,69.88292356945269,103.56466167325654
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2018,2018-01-01,NA, , , ,Damselfishes,116.17215371610841,115.87951223200035,94.67764882745244,139.16729839130903
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2017,2017-01-01,NA, , , ,Damselfishes,136.3378135509751,135.87169782224228,110.8082424440438,162.46753044662688
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2016,2016-01-01,NA, , , ,Damselfishes,151.7514769996787,151.07054698058954,123.93625403727918,182.00172258938136
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2015,2015-01-01,NA, , , ,Damselfishes,83.36668511764972,83.00287130034971,67.10147177583664,99.37503451507187
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2014,2014-01-01,NA, , , ,Damselfishes,87.47578759974895,87.12901668476944,70.29798975048055,104.34629697142704
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2013,2013-01-01,NA, , , ,Damselfishes,62.145185836387576,61.87111646282436,50.17057163379624,74.20060101283467
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2012,2012-01-01,NA, , , ,Damselfishes,54.98385400994544,54.69272906419565,44.45944399991801,65.75790508711134
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2011,2011-01-01,NA, , , ,Damselfishes,79.00720627960047,78.65629373260442,64.22717981757225,94.47434746806859
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2010,2010-01-01,NA, , , ,Damselfishes,77.13425961488343,76.83623412268486,62.2705824060757,92.03208068418316
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2009,2009-01-01,NA, , , ,Damselfishes,79.37534225110251,79.12667375784415,64.63163747644815,95.01785958844624
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2008,2008-01-01,NA, , , ,Damselfishes,73.72104219477947,73.46358706550083,60.09615602034831,88.18083211100345
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2007,2007-01-01,NA, , , ,Damselfishes,86.52856340902969,86.2155093756302,69.44783038953466,102.39342987091685
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2006,2006-01-01,NA, , , ,Damselfishes,85.76487196556289,85.49980986675354,69.5244598343273,102.01347832993706
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2005,2005-01-01,NA, , , ,Damselfishes,109.41732112920867,108.96505526353576,87.17804035679993,129.4579336051362
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2004,2004-01-01,NA, , , ,Damselfishes,76.31803257294453,76.01454327094639,61.9627185905349,91.03366117292443
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2003,2003-01-01,NA, , , ,Damselfishes,91.09128606235095,90.91877533428418,73.98958633447617,109.16740230497504
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2002,2002-01-01,NA, , , ,Damselfishes,82.80846124275672,82.65802301340685,67.0000925967315,98.81308996269598
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2001,2001-01-01,NA, , , ,Damselfishes,70.38477043186066,70.11057356226749,56.990361263482086,84.52487209869881
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2000,2000-01-01,NA, , , ,Damselfishes,67.59221825698475,67.4093635484757,54.236038195918326,80.40879581612145
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1999,1999-01-01,NA, , , ,Damselfishes,101.57193771694234,101.24223761783138,81.79967759513332,120.63432393892849
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1998,1998-01-01,NA, , , ,Damselfishes,88.88956640233793,88.51181194612451,72.31026340800253,106.15009858537104
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1997,1997-01-01,NA, , , ,Damselfishes,101.90573439853705,101.55629580146442,83.21919467401997,122.40317352952918
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1996,1996-01-01,NA, , , ,Damselfishes,147.28614880711825,146.89329416595638,118.6466353951815,174.6500829049166
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1995,1995-01-01,NA, , , ,Damselfishes,104.28591491913205,103.8067960841019,84.80273896416787,124.45402331627717
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2024,2024-01-01,NA, , , ,Large fishes,172.8005099311389,172.9951460664568,145.5831993350187,205.74906899725434
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2023,2023-01-01,NA, , , ,Large fishes,135.70613590146257,135.64164339955013,111.39877413693347,160.46296298288163
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2022,2022-01-01,NA, , , ,Large fishes,146.09320530019082,145.74107442994705,117.72705020459553,172.92976291253856
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2021,2021-01-01,NA, , , ,Large fishes,35.687047762459024,35.61617074658415,29.26186613642902,42.54378101328152
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2020,2020-01-01,NA, , , ,Large fishes,35.83520606078895,35.84769206432067,29.60732756254307,42.34076810073001
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2019,2019-01-01,NA, , , ,Large fishes,36.090530418898084,35.84075174421456,29.65708533773805,43.314368398622065
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2018,2018-01-01,NA, , , ,Large fishes,30.51879463331486,30.380990699033887,24.913136436835032,36.34442244639868
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2017,2017-01-01,NA, , , ,Large fishes,38.017959872893265,37.94511828290098,31.374485520992774,44.78718276770958
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2016,2016-01-01,NA, , , ,Large fishes,35.77922724615098,35.696388667623026,29.629388640414653,42.574735627205975
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2015,2015-01-01,NA, , , ,Large fishes,29.794590375938082,29.683119459185285,24.09955950110668,35.51433282280746
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2014,2014-01-01,NA, , , ,Large fishes,39.580774304037135,39.445033809264324,32.478677496874745,47.07934544879537
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2013,2013-01-01,NA, , , ,Large fishes,37.92503632821892,37.82918777628376,30.31979413494795,44.93249242434372
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2012,2012-01-01,NA, , , ,Large fishes,41.57745989449769,41.48699529730422,34.41688589548418,48.807851824579124
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2011,2011-01-01,NA, , , ,Large fishes,36.60280355762259,36.37908066577815,30.257974207419004,43.969929032303256
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2010,2010-01-01,NA, , , ,Large fishes,38.97920270667453,38.812924303018455,31.74459097929977,46.22424990223721
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2009,2009-01-01,NA, , , ,Large fishes,45.31897629209188,45.17910641988797,36.50660308467071,53.720292172861285
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2008,2008-01-01,NA, , , ,Large fishes,36.85009981830469,36.82354360278065,29.710481398102374,43.04507459106326
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2007,2007-01-01,NA, , , ,Large fishes,34.76308032636783,34.5258046260831,27.94892310583342,41.50829820915936
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2006,2006-01-01,NA, , , ,Large fishes,38.82076441365403,38.809310244669724,32.30003139675347,46.035928667949236
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2005,2005-01-01,NA, , , ,Large fishes,36.775837766757135,36.62185171674726,29.647357414404095,43.91168350030552
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2004,2004-01-01,NA, , , ,Large fishes,39.925791899180695,39.69216090098132,32.25190158098761,47.244339598228564
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2003,2003-01-01,NA, , , ,Large fishes,30.511399726370982,30.470923485384134,24.853579472430393,36.517928855719305
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2002,2002-01-01,NA, , , ,Large fishes,24.5448278176442,24.40272051950243,19.956801088578505,29.231588155726733
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2001,2001-01-01,NA, , , ,Large fishes,28.24891186343487,28.180891148689142,23.153333975889513,33.39764526978793
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,2000,2000-01-01,NA, , , ,Large fishes,25.694866453210576,25.58683440082786,21.11314068523683,30.509748411491856
GROUP_LEVEL,Sectors,TO,fish,fish,fish,Fish density per 250m²,1999,1999-01-01,NA, , , ,Large fishes,26.389226916329275,26.28140131578647,21.435713597831892,32.05147253202529
